"asin","fnsku","product_name","fulfillment_center","country_code","longest_side","median_side","shortest_side","measurement_units","weight","weight_units","item_volume","volume_units","product_size_tier","average_quantity_on_hand","average_quantity_pending_removal","estimated_total_item_volume","month_of_charge","storage_utilization_ratio","storage_utilization_ratio_units","base_rate","utilization_surcharge_rate","avg_qty_for_sus","est_vol_for_sus","est_base_msf","est_sus","currency","estimated_monthly_storage_fee","category","eligible_for_inventory_discount","qualifies_for_inventory_discount","total_incentive_fee_amount","breakdown_incentive_fee_amount","average_quantity_customer_orders"
"B0786KK4TG","X002326XGB","TUBOPLUS - TuboX3- Ball Pressurizer for Tennis and Padel - Blue Color","CWL1","GB","19.9","8.5","8.4","centimeters","0.31","kilograms","0.0502","cubic feet","Standard-Size","1.0","0.0","0.0502","2025-01",">52","weeks","0.76","0.0","0.06","0.0032","0.04","0.0","GBP","0.04","Others","N","N","0.0","--","0.0"
"B07ZTHSVCK","X0013ZBBK7","TUBOPLUS POLICARBONATO UG-965T-RORR Tubox4 Crystal + Pumpe mit Manometer Beto-Tennis-und Paddelbälle, Transparent, 4 Pelotas","CGN1","DE","30.8","8.6","8.2","centimeters","0.6","kilograms","0.0022","cubic meters","Standard-Size","0.58","0.13","0.001","2025-01","3.8","weeks","27.54","0.0","0.45","0.001","0.03","0.0","EUR","0.03","Others","N","N","0.0","--","0.0"
"B0183RZ2VI","X000GERVU5","TUBOPLUS Behälter Steht unter Druck (BLAU) Tennis/Padel","DUS4","DE","20.19","8.5","8.5","centimeters","0.32","kilograms","0.0015","cubic meters","Standard-Size","1.0","0.0","0.0015","2025-01","3.8","weeks","27.54","0.0","1.0","0.0015","0.0403","0.0","EUR","0.0403","Others","N","N","0.0","--","0.0"
"B0BTDTVCG2","X001PQP7JP","TUBOPLUS TuboX3 Tennis- und Padelballdrucker | Weiß","DUS4","DE","20.2","8.3","8.1","centimeters","0.3","kilograms","0.0014","cubic meters","Standard-Size","1.0","0.0","0.0014","2025-01","3.8","weeks","27.54","0.0","0.0","0.0","0.0375","0.0","EUR","0.0375","Others","N","N","0.0","--","0.0"
"B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör","DUS4","DE","31.2","8.4","8.4","centimeters","0.45","kilograms","0.0022","cubic meters","Standard-Size","2.68","0.0","0.0059","2025-01","3.8","weeks","27.54","0.0","1.23","0.0027","0.163","0.0","EUR","0.163","Others","N","N","0.0","--","0.0"
"B07ZTHSVCK","X001T0EPOZ","TUBOPLUS POLICARBONATO UG-965T-RORR Tubox4 Crystal + Pumpe mit Manometer Beto-Tennis-und Paddelbälle, Transparent, 4 Pelotas","DUS4","DE","30.9","8.4","8.4","centimeters","0.81","kilograms","0.0022","cubic meters","Standard-Size","1.0","0.0","0.0022","2025-01","3.8","weeks","27.54","0.0","0.94","0.002","0.0603","0.0","EUR","0.0603","Others","N","N","0.0","--","0.0"
"B0D1Z9TGWZ","X00209ZLGP","TUBOPLUS 29PSI X4e (keine Luftpumpe im Lieferumfang enthalten)","DUS4","DE","30.8","9.0","8.9","centimeters","0.3","kilograms","0.0025","cubic meters","Standard-Size","1.0","0.0","0.0025","2025-01","3.8","weeks","27.54","0.0","1.0","0.0025","0.0682","0.0","EUR","0.0682","Others","N","N","0.0","--","0.0"
"B0D22R7L7D","X0020AR9P5","TUBOPLUS 29 PSI X3e (ohne Luftpumpe)","DUS4","DE","25.2","8.8","8.7","centimeters","0.25","kilograms","0.0019","cubic meters","Standard-Size","0.39","0.0","7.0E-4","2025-01","3.8","weeks","27.54","0.0","0.39","7.0E-4","0.0206","0.0","EUR","0.0206","Others","N","N","0.0","--","0.0"
"B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör","FRA3","DE","31.2","8.4","8.4","centimeters","0.45","kilograms","0.0022","cubic meters","Standard-Size","0.19","0.06","3.0E-4","2025-01","3.8","weeks","27.54","0.0","0.13","3.0E-4","0.01","0.0","EUR","0.01","Others","N","N","0.0","--","0.0"
"B07ZTHSVCK","X0013ZBBK7","TUBOPLUS POLICARBONATO UG-965T-RORR Tubox4 Crystal + Pumpe mit Manometer Beto-Tennis-und Paddelbälle, Transparent, 4 Pelotas","FRA7","DE","30.8","8.6","8.2","centimeters","0.6","kilograms","0.0022","cubic meters","Standard-Size","1.0","0.0","0.0022","2025-01","3.8","weeks","27.54","0.0","0.1","2.0E-4","0.0594","0.0","EUR","0.0594","Others","N","N","0.0","--","0.0"
